Fluid,A,B,C,Pmin,Pmax,Tmin,Tmax,R2
R1234yf,-2451.3021512552655,-21.76239019670406,3.9975123185510073,31507.558848475517,3382200.0,220.00000000032696,367.85,0.9999676131315498
R1234ze(E),-2425.99104785086,-21.721623999007456,16.394315674814123,218.58002181736745,3634936.851021726,168.61999999853634,382.52,0.9999492383459418
R1234ze(Z),-2976.1855547555897,-22.12917436694841,1.7095903902604332,67849.185886603,3530619.67044966,272.9999999999471,423.27,0.9999761281887878
R124,-2440.2339218708853,-21.560847163809377,18.189340735012948,0.026738623617928323,3624295.0,120.00003530747969,395.425,0.9999470727900055
R1243zf,-2483.9123293862845,-21.723825065523314,3.96775197913116,25832.072524917538,3517867.1261784267,219.99999999995097,376.93,0.999961808667247
R125,-2131.37845948587,-21.663282890818085,14.870487757219216,2914.046009255466,3617700.0,172.5200000005998,339.173,0.9999570483016749
R13,-1799.8896548130497,-21.262744931264905,7.023105934961793,0.9055724893917296,3879000.0,98.14999907767402,301.88,0.9999424674792275
R134a,-2397.676136037857,-21.901498906480253,16.069016355055606,389.5637885619896,4059280.0,169.84999999895885,374.21,0.999658138812294
R13I1,-2427.2297517389984,-21.38291371630309,5.176650273203382,0.4623742427246348,3952566.071718672,120.00000000614058,396.44,0.9999537612511876
R14,-1446.5216193389099,-21.484997757340416,-0.18778996534812636,11294.329044413662,3750000.0,119.99999999996749,227.51,0.9999478605337037
R141b,-2858.4891190765716,-21.453120589357905,17.35763961636443,6.492735334262435,4212000.0,169.6800001715396,477.5,0.9999389801382061
R142b,-2518.221526060808,-21.534724847214825,12.55478507353391,3.6326514405276074,4055000.0,142.71999955356713,410.26,0.9999341559042658
R143a,-2227.522217213435,-21.70760852278364,7.240519145623581,1074.9454424528103,3761000.0,161.33999999387547,345.857,0.999946022567177
R152A,-2480.27976206371,-21.90540731632164,10.250690826165856,64.13864973694703,4520000.0,154.5600060385954,386.411,0.9999454848352137
R161,-2313.862895032542,-21.72922809871649,8.835371543691801,5.512269644056271,5010000.0,130.00000019127634,375.25,0.9999340081329482
R21,-2701.2190977346113,-21.631584978633175,14.58177461073129,872.8349801770092,5181200.0,200.00000000335464,451.48,0.9999352415157096
R218,-2169.580978150326,-21.371736075544206,16.236547615254118,2.018573582236092,2640000.0,125.45000005877299,345.02,0.9999285324850046
R22,-2247.7642466724046,-21.690528280172213,11.254802127063595,0.3794747321972858,4990000.0,115.73005664294962,369.295,0.9999496805655878
R227EA,-2353.9468864931596,-21.553581313009435,22.266657843962033,7.331559169108263,2925242.2339447653,146.3500006089242,374.9,0.9999532759650896
R23,-1910.4720656781237,-21.926575523976584,7.485622288890448,58.04099416222911,4832000.0,118.01999998322508,299.293,0.9999436757184611
R236EA,-2710.7082043488,-21.911402622868177,18.242563129199084,17498.188401643893,3420000.0,242.99999999926945,412.44,0.9999634252733642
R236FA,-2557.5523371749687,-21.768625776675048,22.19424330558197,160.32677882015295,3200000.0,179.60000000305118,398.07,0.9999395688948207
R245ca,-2832.5154784882247,-21.875694225184944,24.90534355507302,118.2791171995814,3940740.488750428,196.0000000047514,447.57,0.9999220584953427
R245fa,-2682.6537712146624,-21.8187279848373,27.691408151498216,13.75743250947722,3651000.0,171.0499998258904,427.01,0.9999587244325233
R32,-2314.204048812325,-22.2601945576353,5.900168878141633,47.999893876059375,5782000.0,136.34000002819283,351.255,0.9999436845757987
R365MFC,-3142.6384162308036,-22.043578646658794,14.719107916200606,2478.41525119894,3266207.0678832484,239.0000000003653,460.0,0.999920677656326
R40,-2550.564535000964,-21.864427623863335,1.8193787915817037,40560.9612761303,6671686.977141843,230.00000000002063,416.3,0.9999073617769592
R404A,-2267.962778758878,-21.83845925845139,7.597061696431976,22649.187475165232,3734800.0,200.96209537340977,345.27,0.9999562176228973
R407C,-2601.955204825212,-22.580197730269273,0.8153840859944722,19158.054515449792,4631700.0,207.4901087355222,359.345,0.9998816666783017
R41,-2104.747307713921,-22.137433375778404,-3.6050697696378,344.19906448775794,5897000.0,129.8199999987606,317.28000000000003,0.999921064618888
R410A,-2319.121967681924,-22.219579813537266,4.615654587728064,29160.33537476026,4901200.0,200.07992362677226,344.494,0.9999633699177785
R507A,-2271.3468893788263,-21.8410535360661,6.054542759127762,23232.992819809653,3704900.0,200.00736117371275,343.765,0.9999586904989824
RC318,-2495.6611003625435,-21.583160954817995,18.979571056286016,19461.056081373,2777500.0,233.35000000054282,388.38,0.9999602619372492
SES36,-3370.8446341546983,-22.22942377903626,-6.483994963691611,573.2898712226755,2849000.0,200.00151830131674,450.6951094678632,0.9999741715580699
SulfurDioxide,-2658.820018984839,-22.27429619089456,15.465474726578373,1666.14407923648,7886587.6003464125,197.69999999951742,430.64,0.9999530571972418
SulfurHexafluoride,-2277.9119628923286,-22.00183121126218,-12.891546593345357,231424.47395150532,3754983.0,223.55500000021595,318.7232,0.999981360729144
Toluene,-3762.9089408994923,-21.76004551536177,16.34747955928669,0.03939340898242913,4126000.0,177.99998969873977,591.75,0.9999187614910368
trans-2-Butene,-2706.547836573262,-21.583731214634025,5.0752577560186705,74.8166907735672,4027300.0,167.5999999972181,428.61,0.9999227166863338
Water,-4526.500502554189,-23.98710320881671,8.531860951858894,611.6548008968684,22064000.0,273.16000067247575,647.096,0.9999476743204113
Xenon,-1786.2238986648995,-21.40374517010801,-16.564774330489406,81747.79907328896,5842000.0,161.40000000001947,289.733,0.9999627220200015
